filename,ita_mean,skin_tone
000115.png,36.302574,III
000116.png,42.592293,II
000117.png,16.961636,IV
000118.png,24.330938,IV
000119.png,17.33057,IV
000120.png,29.545362,III
000121.png,28.103605,III
000122.png,30.672256,III
000123.png,35.970284,III
000124.png,14.280185,IV
000125.png,28.56651,III
000126.png,33.129635,III
000127.png,7.388785,V
000128.png,9.303758,V
000129.png,16.265104,IV
000130.png,23.612709,IV
000131.png,23.96225,IV
000132.png,39.422405,III
000133.png,11.423624,IV
000134.png,19.96622,IV
000135.png,22.3088,IV
000136.png,37.880844,III
000137.png,29.813772,III
000138.png,27.259996,IV
000139.png,31.767849,III
000140.png,45.10931,II
000141.png,21.042316,IV
000142.png,9.094562,V
000143.png,7.966672,V
000144.png,28.968979,III
000145.png,-8.575773,V
000146.png,13.093108,IV
000147.png,17.74305,IV
000148.png,17.701237,IV
000149.png,23.602139,IV
000150.png,33.881577,III
000151.png,30.32747,III
000152.png,36.610497,III
000153.png,24.74419,IV
000154.png,25.630928,IV
000155.png,9.001215,V
000156.png,20.986061,IV
000157.png,12.371407,IV
000158.png,18.854069,IV
000159.png,32.01517,III
000160.png,22.487959,IV
000161.png,25.734232,IV
000162.png,30.069317,III
000163.png,25.182205,IV
000164.png,21.519344,IV
000165.png,34.79206,III
000166.png,11.202152,IV
000167.png,27.350668,IV
000168.png,26.277935,IV
000169.png,31.187405,III
000170.png,27.296333,IV
000171.png,20.183596,IV
000172.png,31.820194,III
000173.png,18.202381,IV
000174.png,24.242065,IV
000175.png,19.082018,IV
000176.png,23.642824,IV
000177.png,3.2267487,V
000178.png,35.876186,III
000179.png,22.381,IV
000180.png,28.535833,III
000181.png,44.834797,II
000182.png,19.091127,IV
000183.png,12.579757,IV
000184.png,29.94607,III
000185.png,14.738436,IV
000186.png,20.995237,IV
000187.png,25.476572,IV
000188.png,32.777508,III
000189.png,31.22937,III
000190.png,18.172255,IV
000191.png,25.712435,IV
000192.png,23.900862,IV
000193.png,5.8554583,V
000194.png,13.633815,IV
000195.png,8.08898,V
000196.png,6.396803,V
000197.png,20.496925,IV
000198.png,21.121357,IV
000199.png,-0.42730662,V
000200.png,22.81587,IV
000201.png,29.027374,III
000202.png,30.566177,III
000203.png,22.257706,IV
000204.png,22.350172,IV
000205.png,23.776278,IV
000206.png,30.406702,III
000207.png,23.955452,IV
000208.png,35.282097,III
000209.png,20.875551,IV
000210.png,21.913027,IV
000211.png,24.895508,IV
000212.png,19.833958,IV
000213.png,19.870283,IV
000214.png,43.152794,II
000215.png,25.580242,IV
000216.png,33.33228,III
000217.png,27.694326,IV
000218.png,32.007908,III
000219.png,33.64862,III
000220.png,30.09478,III
000221.png,18.128992,IV
000222.png,44.01483,II
000223.png,16.587944,IV
000224.png,35.804028,III
000225.png,17.548306,IV
000226.png,19.995752,IV
000227.png,12.471216,IV
000228.png,9.761613,V
000229.png,20.445808,IV
000230.png,13.54846,IV
000231.png,36.812878,III
000232.png,32.320107,III
000233.png,14.677039,IV
000234.png,22.237246,IV
000235.png,21.320545,IV
000236.png,23.720982,IV
000237.png,28.943806,III
000238.png,26.593184,IV
000239.png,27.846684,IV
000240.png,22.406572,IV
000241.png,22.824823,IV
000242.png,27.047453,IV
000243.png,23.630936,IV
000244.png,32.00024,III
000245.png,18.145132,IV
000246.png,28.485504,III
000247.png,17.432554,IV
000248.png,10.374802,IV
000249.png,31.207104,III
000250.png,32.604424,III
000251.png,22.682364,IV
000252.png,27.784754,IV
000253.png,20.547668,IV
000254.png,41.19545,II
000255.png,37.22006,III
000256.png,35.794224,III
000257.png,34.129177,III
000258.png,39.99095,III
000259.png,32.261967,III
000260.png,42.22273,II
000261.png,25.297182,IV
000262.png,20.45939,IV
000263.png,37.079285,III
000264.png,27.099062,IV
000265.png,39.506012,III
000266.png,38.14613,III
000267.png,29.646969,III
000268.png,32.956097,III
000269.png,49.13144,II
000270.png,33.10673,III
000271.png,18.792881,IV
000272.png,32.332413,III
000273.png,29.503452,III
000274.png,38.682358,III
000275.png,43.792698,II
000276.png,38.21155,III
000277.png,35.57479,III
000278.png,30.303432,III
000279.png,35.178593,III
000280.png,35.066772,III
000281.png,31.70456,III
000282.png,29.94103,III
000283.png,34.321823,III
000284.png,29.319677,III
000285.png,38.766083,III
000286.png,33.496666,III
000287.png,34.933743,III
000288.png,24.764711,IV
000289.png,23.498224,IV
000290.png,30.515333,III
000291.png,39.449505,III
000292.png,36.986187,III
000293.png,17.117535,IV
000294.png,36.030212,III
000295.png,23.523388,IV
000296.png,25.097237,IV
000297.png,35.067657,III
000298.png,34.821037,III
000299.png,8.509091,V
000300.png,42.75157,II
000301.png,43.898067,II
000302.png,34.47797,III
000303.png,26.034903,IV
000304.png,39.640717,III
000305.png,35.75164,III
000306.png,37.656864,III
000307.png,33.81521,III
000308.png,45.62798,II
000309.png,28.64831,III
000310.png,37.195324,III
000311.png,37.96179,III
000312.png,34.484013,III
000313.png,26.00291,IV
000314.png,36.68078,III
000315.png,39.12449,III
000316.png,16.696592,IV
000317.png,31.19638,III
000318.png,23.366951,IV
000319.png,30.199997,III
000320.png,40.27068,III
000321.png,37.38182,III
000322.png,32.185158,III
000323.png,28.48208,III
000324.png,29.99474,III
000325.png,35.518135,III
000326.png,36.77915,III
000327.png,38.04096,III
000328.png,30.492834,III
000329.png,23.143503,IV
000330.png,35.88314,III
000331.png,25.788729,IV
000332.png,34.026268,III
000333.png,28.799376,III
000334.png,30.764217,III
000335.png,35.395866,III
000336.png,30.166315,III
000337.png,32.08459,III
000338.png,35.20768,III
000339.png,33.696434,III
000340.png,36.276962,III
000341.png,32.799717,III
000342.png,26.643816,IV
000343.png,26.579952,IV
000344.png,30.083687,III
000345.png,36.175724,III
000346.png,38.684204,III
000347.png,33.28596,III
000348.png,42.840725,II
000349.png,31.293856,III
000350.png,34.68379,III
000351.png,25.755701,IV
000352.png,40.716755,III
000353.png,26.966063,IV
000354.png,26.39701,IV
000355.png,36.68128,III
000356.png,45.04749,II
000357.png,31.60976,III
000358.png,37.083008,III
000359.png,18.15191,IV
000360.png,31.391659,III
000361.png,35.10528,III
000362.png,26.928497,IV
000363.png,22.458637,IV
000364.png,28.77563,III
000365.png,47.014656,II
000366.png,37.20629,III
000367.png,26.699945,IV
000368.png,41.451534,II
000369.png,31.842365,III
000370.png,18.591408,IV
000371.png,38.905796,III
000372.png,33.531273,III
000373.png,33.863705,III
000374.png,25.99759,IV
000375.png,23.492977,IV
000376.png,47.36181,II
000377.png,32.64141,III
000378.png,23.643158,IV
000379.png,37.647236,III
000380.png,29.582773,III
000381.png,35.086906,III
000382.png,29.86455,III
000383.png,34.350376,III
000384.png,34.14306,III
000385.png,42.486446,II
000386.png,34.33917,III
000387.png,33.226757,III
000388.png,29.93397,III
000389.png,37.870018,III
000390.png,22.167744,IV
000391.png,29.514654,III
000392.png,33.319378,III
000393.png,26.593187,IV
000394.png,-6.5361185,V
000395.png,42.459484,II
000396.png,26.054811,IV
000397.png,29.942707,III
000398.png,42.11912,II
000399.png,38.585182,III
000400.png,35.9126,III
000401.png,28.198729,III
000402.png,27.15632,IV
000403.png,26.803984,IV
000404.png,26.067307,IV
000405.png,39.648945,III
000406.png,37.00146,III
000407.png,17.180622,IV
000408.png,38.80846,III
000409.png,24.955997,IV
000410.png,35.04787,III
000411.png,29.329348,III
000412.png,42.590332,II
000413.png,25.256622,IV
000414.png,37.766884,III
000415.png,36.701797,III
000416.png,45.518913,II
000417.png,29.799246,III
000418.png,37.732094,III
000419.png,30.718294,III
000420.png,33.142517,III
000421.png,44.324932,II
000422.png,32.57417,III
000423.png,31.874714,III
000424.png,40.47184,III
000425.png,32.23819,III
000426.png,32.844147,III
000427.png,34.622852,III
000428.png,23.638897,IV
000429.png,41.543133,II
000430.png,30.988127,III
000431.png,24.669031,IV
000432.png,35.0474,III
000433.png,32.91558,III
000434.png,32.340454,III
000435.png,25.951939,IV
000436.png,37.915707,III
000437.png,33.93346,III
000438.png,18.910782,IV
000439.png,33.006012,III
000440.png,42.85595,II
000441.png,32.112926,III
000442.png,32.117565,III
000443.png,15.142895,IV
000444.png,33.35501,III
000445.png,34.65195,III
000446.png,26.884848,IV
000447.png,20.9919,IV
000448.png,29.590937,III
000449.png,28.353737,III
000450.png,39.240692,III
000451.png,37.86618,III
000452.png,33.440006,III
000453.png,26.087612,IV
000454.png,45.06071,II
000455.png,43.819927,II
000456.png,26.059542,IV
000457.png,34.087112,III
000458.png,25.569609,IV
000459.png,32.887314,III
000460.png,29.894789,III
000461.png,34.267986,III
000462.png,4.480675,V
000463.png,44.278137,II
000464.png,28.392807,III
000465.png,20.272436,IV
000466.png,28.862537,III
000467.png,31.474499,III
000468.png,24.004658,IV
000469.png,29.529299,III
000470.png,31.030119,III
000471.png,18.482878,IV
000472.png,34.726948,III
000473.png,32.0147,III
000474.png,41.54022,II
000475.png,28.117489,III
000476.png,21.984636,IV
000477.png,20.241894,IV
000478.png,18.803122,IV
000479.png,22.919254,IV
000480.png,28.806427,III
000481.png,26.453014,IV
000482.png,31.111362,III
000483.png,20.827805,IV
000484.png,22.40479,IV
000485.png,27.733978,IV
000486.png,33.300346,III
000487.png,30.062855,III
000488.png,21.790432,IV
000489.png,32.346664,III
000490.png,35.736073,III
000491.png,15.803337,IV
000492.png,35.540787,III
000493.png,32.48285,III
000494.png,34.165577,III
000495.png,19.809206,IV
000496.png,30.296835,III
000497.png,32.641922,III
000498.png,37.396515,III
000499.png,39.20284,III
000500.png,34.07447,III
000501.png,9.574886,V
000502.png,36.44753,III
000503.png,36.504173,III
000504.png,25.37517,IV
000505.png,34.357807,III
000506.png,41.514137,II
000507.png,31.11542,III
000508.png,17.208387,IV
000509.png,23.287245,IV
000510.png,32.52796,III
000511.png,27.478685,IV
000512.png,13.456153,IV
000513.png,32.02965,III
000514.png,40.941864,III
000515.png,38.488495,III
000516.png,26.620886,IV
000517.png,30.124636,III
000518.png,27.266104,IV
000519.png,31.645052,III
000520.png,27.08656,IV
000521.png,35.465412,III
000522.png,36.691616,III
000523.png,26.544933,IV
000524.png,29.460253,III
000525.png,17.453503,IV
000526.png,32.316677,III
000527.png,36.482838,III
000528.png,39.262142,III
000529.png,36.86408,III
000530.png,14.181201,IV
000531.png,39.096756,III
000532.png,31.565014,III
000533.png,28.896559,III
000534.png,30.950933,III
000535.png,19.138638,IV
000536.png,37.712658,III
000537.png,10.82695,IV
000538.png,30.277933,III
000539.png,38.794933,III
000540.png,21.621178,IV
000541.png,25.422758,IV
000542.png,36.40142,III
000543.png,35.908054,III
000544.png,32.165943,III
000545.png,32.01549,III
000546.png,34.999744,III
000547.png,34.552853,III
000548.png,38.31053,III
000549.png,25.913734,IV
000550.png,34.671,III
000551.png,28.86024,III
000552.png,47.135296,II
000553.png,30.658176,III
000554.png,23.04895,IV
000555.png,34.06423,III
000556.png,20.041645,IV
000557.png,38.429893,III
000558.png,26.793623,IV
000559.png,31.805393,III
000560.png,25.697744,IV
000561.png,39.240124,III
000562.png,26.22728,IV
000563.png,33.50449,III
000564.png,27.940691,IV
000565.png,19.86546,IV
000566.png,26.125864,IV
000567.png,18.233551,IV
000568.png,27.106833,IV
000569.png,39.29445,III
000570.png,39.702126,III
000571.png,6.9601774,V
000572.png,33.01729,III
000573.png,12.035553,IV
000574.png,32.948727,III
000575.png,30.351263,III
000576.png,38.778584,III
000577.png,38.067265,III
000578.png,28.538692,III
000579.png,25.088366,IV
000580.png,30.842539,III
000581.png,28.54935,III
000582.png,-5.6510706,V
000583.png,28.389753,III
000584.png,27.29449,IV
000585.png,31.135702,III
000586.png,21.361198,IV
000587.png,21.987114,IV
000588.png,34.70247,III
000589.png,24.58526,IV
000590.png,32.80513,III
000591.png,21.657064,IV
000592.png,26.359253,IV
000593.png,29.248718,III
000594.png,31.18308,III
000595.png,39.414062,III
000596.png,26.710016,IV
000597.png,33.91959,III
000598.png,37.177635,III
000599.png,31.37801,III
000600.png,29.792627,III
000601.png,24.19538,IV
000602.png,30.356892,III
000603.png,32.534317,III
000604.png,28.508282,III
000605.png,28.230843,III
000606.png,31.05467,III
000607.png,26.035578,IV
000608.png,28.722618,III
000609.png,23.808823,IV
000610.png,41.485588,II
000611.png,24.368637,IV
000612.png,32.95285,III
000613.png,33.250874,III
000614.png,23.303175,IV
000615.png,24.90713,IV
000616.png,22.493599,IV
000617.png,27.999647,IV
000618.png,34.042545,III
000619.png,38.484985,III
000620.png,37.03599,III
000621.png,30.551865,III
000622.png,20.109194,IV
000623.png,32.433342,III
000624.png,32.258812,III
000625.png,30.067041,III
000626.png,30.91092,III
000627.png,18.50929,IV
000628.png,32.815994,III
000629.png,33.407646,III
000630.png,26.908466,IV
000631.png,40.7886,III
000632.png,28.497385,III
000633.png,34.036816,III
000634.png,34.463467,III
000635.png,38.44132,III
000636.png,24.638956,IV
000637.png,25.001598,IV
000638.png,43.29621,II
000639.png,38.552395,III
000640.png,23.141922,IV
000641.png,3.0418205,V
000642.png,28.666124,III
000643.png,26.779083,IV
000644.png,21.213682,IV
000645.png,30.76795,III
000646.png,16.546734,IV
000647.png,18.045448,IV
000648.png,36.47662,III
000649.png,34.989185,III
000650.png,31.37126,III
000651.png,38.694916,III
000652.png,7.252376,V
000653.png,35.707924,III
000654.png,30.488342,III
000655.png,17.926569,IV
000656.png,25.892715,IV
